num_steps,runtime,score,slope,intercept,inlier_log_var,outlier_log_var,predictive_likelihood
1,0.011680126190185549,0,-1.71767,1.7932,0.218125,-1.90717,-4719.280125585907
1,0.007845163345336914,0,1.39329,1.02657,1.95779,-0.376173,-3532.249759931783
1,0.007630825042724609,0,-1.86283,0.249231,1.25106,-1.23833,-2716.1650971941303
1,0.008147001266479492,0,-0.818629,1.67187,-0.133542,0.555825,-2907.6101113173168
1,0.008069038391113281,0,1.03045,-0.244443,1.27832,-1.82477,-4909.829962791698
1,0.00831294059753418,0,0.00728939,-1.8267,1.9769,-0.0785125,-2538.44133722475
1,0.007779121398925781,0,-0.37149,-1.4584700000000002,0.792565,1.22845,-3137.221265800259
1,0.007349967956542969,0,-1.50566,-0.207573,1.1348200000000002,-1.38565,-2704.4236443868012
1,0.007937908172607422,0,1.43288,-1.26724,1.96675,-0.35766,-3918.2330563757896
1,0.00801992416381836,0,1.6928900000000002,0.586098,0.406536,0.924986,-8728.38034554545
1,0.007732868194580078,0,-1.7171599999999998,-1.46187,1.7677,-1.77971,-2495.584696338237
1,0.008788824081420898,0,-0.162536,-0.129578,0.26642,0.105771,-5445.050699224535
1,0.00814199447631836,0,0.178733,-0.996455,0.455095,-1.06407,-6447.593266912116
1,0.008635997772216797,0,-0.0589535,0.899176,-1.8013099999999995,-1.83253,-35362.8652530993
1,0.008162975311279297,0,0.28073000000000004,-0.5490470000000001,0.29449200000000003,0.074306,-7224.697421678174
1,0.007350921630859375,0,0.866901,-1.21379,0.790279,-1.8747,-7151.894131322245
1,0.00722503662109375,0,-1.03642,-1.69267,0.399991,1.1689200000000002,-3182.0475063579584
1,0.007467985153198242,0,-1.05872,-1.52905,0.903358,1.45287,-2579.4160651673865
1,0.007863998413085938,0,-0.05280419999999999,-0.753283,1.88411,-0.164377,-2324.001449938743
1,0.007424116134643555,0,1.21519,-1.39576,1.96251,1.92039,-3412.2789339613137
2,0.010204076766967772,0,0.375576,0.166522,2.6147,1.34859,-1920.7880319966623
2,0.009521007537841795,0,-0.512691,-0.70918,-0.537146,-1.98332,-10686.091945050086
2,0.008983135223388672,0,-0.697822,0.506975,0.304412,-0.19568,-3938.4868595908656
2,0.024715185165405273,0,1.21431,-1.07011,1.86608,0.34747,-3763.578805079102
2,0.007971048355102539,0,-1.15826,1.47373,2.5894,0.8079109999999999,-1405.2256006929924
2,0.010351181030273438,0,-0.203385,-0.120634,-0.525458,1.77951,-2192.7446479337746
2,0.00864410400390625,0,-0.213169,-0.616531,2.77283,0.727169,-1759.914579153221
2,0.00834798812866211,0,0.701792,-1.20361,3.32777,0.4915390000000001,-1988.105469777235
2,0.00849008560180664,0,-0.106364,-0.60112,2.53602,0.205962,-1880.7011833947647
2,0.009667158126831056,0,0.616877,-1.29872,2.88268,-0.32498,-2140.7090171014925
2,0.00888514518737793,0,-0.938261,0.908316,2.69577,0.424207,-1425.3109527666413
2,0.017940998077392578,0,-0.927771,-0.650396,-1.7375599999999998,1.18761,-2731.6815094153058
2,0.007503032684326172,0,-0.919932,0.323841,2.25348,2.01129,-1542.699298416838
2,0.008337020874023438,0,-0.297609,-0.949017,-1.6538099999999998,2.26748,-2023.0090191863612
2,0.00873708724975586,0,0.552841,-0.695281,-0.276936,1.44593,-3603.3569157850116
2,0.009021997451782228,0,1.6868599999999998,-1.8281,-1.83062,1.20062,-7938.130073757733
2,0.009072065353393556,0,0.987544,0.423611,-1.66275,1.7328599999999998,-3454.010102265404
2,0.008560895919799805,0,-0.100481,0.163761,0.00759237,0.969591,-3288.345981683518
2,0.009444952011108398,0,-1.0024,-0.8215959999999999,-0.454016,2.34921,-1910.1596819492318
2,0.03549504280090332,0,-0.8046949999999999,2.60022,7.922639999999999,-0.733075,-1771.2607257359107
3,0.04647397994995117,0,0.97107,-0.0575002,1.8423,0.26116,-3257.369104765885
3,0.014035940170288086,0,0.0903297,-0.130025,-0.5467810000000001,3.14861,-1821.4504204733853
3,0.010123968124389648,0,-1.14232,1.2608,-1.06995,1.99588,-1556.316050980445
3,0.009610891342163086,0,-0.771202,1.83656,1.3822,-1.7952,-1881.2346771838556
3,0.01083993911743164,0,-1.27484,0.8647879999999999,-1.37628,0.5584680000000001,-3172.1499774240415
3,0.009228944778442385,0,-0.26337,1.18828,2.0784700000000003,0.605912,-1754.3579696303614
3,0.01026296615600586,0,1.29137,0.506499,1.80629,-0.0277754,-3740.227700041108
3,0.01038193702697754,0,-0.937899,2.45112,0.945268,4.75021,-1416.9269053396556
3,0.01047205924987793,0,0.6148319999999999,1.23174,0.0149079,-1.05186,-9964.236883606587
3,0.009483098983764648,0,-0.37008,1.07979,-1.7595599999999998,2.2931,-1764.5063528473286
3,0.00927281379699707,0,0.225471,1.50608,0.0300096,3.4945,-1711.729674231606
3,0.009947061538696287,0,-0.232428,-0.6117600000000001,-0.677033,2.25647,-1974.4936232070859
3,0.009858131408691406,0,-0.14920999999999998,-1.67429,0.850074,2.71666,-1936.7692644159322
3,0.014827013015747069,0,0.8373299999999999,1.1992,0.6556890000000001,-1.5215299999999998,-6643.170326341256
3,0.011075973510742188,0,-0.5967560000000001,0.191369,3.6023400000000003,-1.8309,-1712.8630455233367
3,0.009237051010131836,0,0.65877,-1.50612,3.06379,-0.471651,-2111.3847322885954
3,0.01329493522644043,0,-0.18642,1.42757,3.14248,0.283567,-1582.7841229425112
3,0.008790016174316406,0,-0.67709,-1.15564,2.42707,-0.7659239999999999,-1965.6646140807104
3,0.011013031005859377,0,-0.939046,1.09549,-0.811391,0.336048,-3480.837998919892
3,0.012758970260620115,0,-0.797462,-0.343212,3.51214,-1.39606,-1829.5078980547073
4,0.010171890258789062,0,-0.787734,0.917411,-1.78784,0.574761,-3115.8979531673212
4,0.011360883712768556,0,-0.307114,-0.397948,2.30167,-0.8909870000000001,-1900.2508940876637
4,0.010050773620605469,0,0.480604,1.24542,2.11072,-1.51984,-2316.019233752255
4,0.009085893630981444,0,-0.7133970000000001,-0.33155100000000004,0.329751,1.98426,-1879.1469988130787
4,0.010723114013671877,0,-0.603563,-0.0110672,-1.7802,0.922789,-2940.0053288135764
4,0.009733200073242188,0,-1.22365,0.951206,-1.08443,1.81848,-1716.0921156763782
4,0.01006317138671875,0,0.707678,-1.6431900000000002,0.560894,1.63109,-3719.853033520396
4,0.01022195816040039,0,-0.8033779999999999,1.76121,-0.838469,2.05866,-1477.0221729091909
4,0.009732961654663086,0,-0.793157,1.59929,1.83754,-1.94038,-1625.5162460427744
4,0.012022018432617188,0,0.631796,-1.3339,-1.52836,0.249977,-10206.401683086198
4,0.013509035110473631,0,-0.814721,1.5909,2.92259,0.8200959999999999,-1372.3460234162683
4,0.010365009307861328,0,0.837827,0.390421,0.195461,-0.949489,-10219.477373638723
4,0.01230788230895996,0,-0.4853520000000001,-0.251467,-1.98049,-0.0294768,-6294.8300809592265
4,0.009757041931152344,0,-1.45376,0.498673,-0.952147,2.24158,-1668.2314981754537
4,0.00917196273803711,0,-0.986243,1.63056,-1.6520400000000002,1.63871,-1618.0211171736178
4,0.009845972061157228,0,-1.21868,0.303601,-0.129936,2.07467,-1704.0768044764864
4,0.011636018753051758,0,-0.980681,-1.4904,2.40738,-1.35176,-2013.9190235509025
4,0.00995802879333496,0,-0.752566,1.94624,-0.542391,2.0123900000000003,-1513.1537779525831
4,0.01014995574951172,0,-1.13247,1.28283,0.58101,-1.98833,-2940.3050624542816
4,0.009463071823120115,0,-0.826184,-1.66343,0.8490040000000001,-1.73787,-3985.036993506772
5,0.011868953704833984,0,-1.2861,0.00778242,2.43665,-0.221354,-1672.4215429502415
5,0.010310888290405272,0,0.08514110000000001,0.955587,0.204885,2.38082,-1863.637693274238
5,0.010803937911987305,0,-1.38827,0.74847,0.791068,-1.93124,-2852.72894627235
5,0.010478019714355469,0,-0.23220900000000005,-0.109603,-0.341035,2.33891,-1859.3414357102586
5,0.010386943817138672,0,-0.799752,1.21429,1.53965,0.4149890000000001,-1782.7102738853291
5,0.009817123413085938,0,0.767608,1.7203,2.91165,-0.786499,-2041.6496635417852
5,0.010766983032226562,0,-0.541841,0.0279289,-0.911376,0.6776810000000001,-3436.0118328010058
5,0.010461091995239258,0,0.638255,1.16146,-1.89372,2.1558200000000003,-2417.515960843877
5,0.012279033660888672,0,-1.2384,-0.633411,0.918932,-1.60305,-3171.128358218655
5,0.011604070663452148,0,1.42006,1.12755,-1.86167,-0.878373,-39665.46128627031
5,0.010639190673828123,0,-0.851866,-0.8218790000000001,2.02958,-1.38447,-2064.3577142912523
5,0.010447025299072266,0,-1.09586,0.0926693,1.89223,1.57034,-1698.7913698008967
5,0.010146141052246094,0,-0.920671,1.75063,1.51904,0.406566,-1735.3238509097594
5,0.011434078216552734,0,-0.97943,1.90683,2.03296,-1.52609,-1402.082857278824
5,0.017624855041503906,0,-0.8342870000000001,-1.60145,-2.00776,2.30118,-2090.0366684073692
5,0.009805917739868164,0,-1.00653,1.58588,1.53746,-0.707148,-1686.1636562241745
5,0.0181119441986084,0,-0.190108,-0.773341,0.0800184,2.78776,-1813.655240149677
5,0.010419130325317385,0,-1.44766,0.488779,-1.04514,2.98585,-1560.4979928054515
5,0.010632038116455078,0,0.7584989999999999,-0.27963000000000005,-0.464938,2.94879,-2080.7058859301114
5,0.011636972427368164,0,-0.978209,-0.607197,-0.965404,1.87695,-2081.6434434718963
6,0.010786056518554688,0,-0.870642,-1.09846,2.49606,2.64899,-1607.9434008023054
6,0.011500835418701172,0,0.920669,0.962907,3.46041,0.472882,-1929.618913097918
6,0.011153936386108398,0,-0.8362629999999999,-0.223617,-1.3213,1.70158,-2114.9866998069815
6,0.011232852935791016,0,-0.229708,-1.91894,2.44556,-1.38327,-2145.1267035449955
6,0.01123189926147461,0,0.28581100000000004,-0.226242,0.24632,2.52967,-2013.1338694463107
6,0.01076197624206543,0,-0.756376,0.568583,2.0695900000000003,-0.173966,-1671.0440424651872
6,0.015489816665649412,0,-0.798076,0.141654,-1.9798,-0.928198,-11976.419657941284
6,0.011187076568603516,0,-0.5641010000000001,0.607643,-1.70558,2.1154,-1766.2754937210861
6,0.011567115783691406,0,-0.24816,1.61529,-1.11336,0.754159,-3225.2478946716024
6,0.0100860595703125,0,-0.7706109999999999,-0.0499669,1.10457,2.93252,-1533.7720735981459
6,0.014364004135131838,0,-0.857621,-1.6053,2.12607,-1.69238,-2170.8602736448465
6,0.010363101959228516,0,0.310545,0.130215,2.56206,0.825249,-1944.522703561224
6,0.01048588752746582,0,-0.582738,1.66891,1.95874,-1.63008,-1696.4557211392496
6,0.015088081359863281,0,-1.11036,1.13793,3.19235,-0.98147,-1412.5073876292865
6,0.010892868041992188,0,-0.6758930000000001,0.987366,-0.639552,0.392277,-3541.797231202176
6,0.010281085968017578,0,-0.931465,-1.36673,-1.86909,3.40044,-1900.1225303233737
6,0.010824203491210938,0,0.6674100000000001,1.61106,3.0120400000000003,-0.8227,-1967.6210642318736
6,0.010457992553710938,0,-0.565461,-0.835807,2.35799,0.4970479999999999,-1849.0834572608442
6,0.01226210594177246,0,0.434109,0.781964,3.2406,-1.45378,-1886.9387104726582
6,0.010769128799438477,0,0.220678,1.50607,2.60529,-0.709595,-1864.5346176537873
7,0.012003898620605469,0,-1.10207,1.35685,-0.365988,1.80816,-1588.9925177690577
7,0.01132512092590332,0,0.928038,-1.25116,-1.6403900000000002,1.6951,-3811.2553383999125
7,0.011404037475585938,0,-1.57065,1.71918,-1.86466,0.763241,-2999.456963007632
7,0.01221013069152832,0,0.919334,0.924465,-0.665597,0.211465,-10322.368761343523
7,0.012598991394042969,0,-1.04804,1.4945700000000002,1.47491,-1.70282,-1761.247395102291
7,0.012328147888183594,0,-0.945396,0.0524596,0.6959989999999999,1.6906900000000002,-1870.2717047243548
7,0.013375043869018556,0,-0.610744,1.46207,3.1297900000000003,0.123259,-1418.2374005204472
7,0.01237201690673828,0,-0.8755,1.94674,-1.568,0.131591,-3927.60042890487
7,0.012408971786499023,0,-0.457287,1.89018,1.70301,-1.86351,-1886.631373221911
